ID,Country,Region,DataYear,ClassGrade,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Importance_recycling_rubbish,Importance_saving_energy,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Birth_month,Favorite_Season,Allergies,Favorite_Food,Beverage,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Preferred_Status,Role_Model_Type
212,USA,NC,2017,12,17,Right-Handed,180,26,178,1,Car,15,.416,42,950,850,600,27,Same length,90,80,1,Winter,Yes,Rice/Noodle dishes,Water,4,Yes - broadband connection,Internet chat or instant messaging,10,30,1,0,17,7,12,0,1,4,3,3,5,3,A lot,Undergraduate degree,Other,Happy,Relative
213,USA,NC,2019,11,16,Left-Handed,67,10,67,1,Car,20,.38,39,500,1000,1000,30,Same length,40,55,5,Spring,Yes,Pizza/Pasta,Water,3,Yes - other,"Myspace, Facebook, other social networking sites, or blog",25,46,5,1,3,4,10,0,20,1,20,10,0,2,Some,Graduate degree,Pop,Happy,Relative
214,USA,NC,2014,12,17,Right-Handed,172,25,170,2,Car,20,.444,48,250,750,1000,23,Right foot,120,100,10,Winter,Yes,Fruit,Water,2,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",50,50,1,1,8,1,0,20,35,14,60,8,10,1,Some,Graduate degree,Classical,Happy,Musician or singer
215,USA,NC,2014,10,18,Right-Handed,171,24,168,1,Car,10,.482,39,401,305,203,23,Right foot,90,90,3,Spring,No,Poultry,Water,4,Yes - broadband connection,In person,30,40,7,1,5,25,2,0,2,10,5,4,0,3,Some,Undergraduate degree,Country,Happy,Doctor or nurse
216,USA,NC,2020,12,18,Right-Handed,182.8,9.5,34,1,Bus,30,.364,41,500,500,1000,28,Same length,76.2,66.04,7,Spring,No,Meat,Water,5,Yes - broadband connection,Text messaging,5,4,10,0,3,2,0,18,5,0,24,10,0,1,Some,High school,Other,Happy,Other
218,USA,NC,2022,12,17,Left-Handed,170,26,176,2,Car,15,.306,67,0,0,10000,25,Right foot,40,55,7,Summer,Yes,Meat,Water,5,Yes - broadband connection,Text messaging,10,12,7,1,5,0,8,1,20,4,24,1,0,10,Very little,High school,Heavy metal,Happy,Musician or singer
219,USA,NC,2021,12,18,Right-Handed,149.7,38.1,50.8,2,Bus,15,.79,45,1000,1000,1000,38.2,Same length,55,15.2,9,Fall,No,Breads/Sandwiches,Soft drink (caffeinated),8,Yes - other,Text messaging,20,40,7,6,5,168,4,3,168,54,168,24,40,2,A lot,Graduate degree,Other,Rich,Teacher
220,USA,NC,2016,11,16,Right-Handed,162.4,23,61,4,Car,15,.443,36,500,500,1000,24,Right foot,92,92,5,Spring,No,Pizza/Pasta,Water,6,Yes - other,Text messaging,200,500,8,1,30,2,7,0,5,4,0,3,0,0,A lot,Graduate degree,Pop,Happy,Doctor or nurse
222,USA,NC,2022,11,18,Left-Handed,179,121,143,1,Car,25,1.201,53,670,0,400,23,Same length,9,55,7,Summer,Yes,Meat,Soft drink (caffeinated),6,Yes - broadband connection,Text messaging,20,20,0,1,2,2,1,6,3,1,7,2,0,1,Some,Other,Rap/Hip hop,Happy,Friend
223,USA,NC,2021,11,17,Right-Handed,177,33.02,182.8,1,Car,25,.334,45,898,829,465,33.02,Same length,71.12,76.2,10,Fall,Yes,Meat,Sports drink,2,Yes - broadband connection,Text messaging,15,50,10,2,15,10,8,0,1,2,10,3,0,0,Some,Graduate degree,Rap/Hip hop,Happy,Relative
