ID,Country,Region,Gender,Handed,Height_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_saving_energy,Importance_owning_computer,Index_Fingerlength_mm,Ring_Fingerlength_mm,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Superpower,Preferred_Status,Charity_Donation
226,USA,NC,Female,Right-Handed,290,3,Bus,10,.578,92,3000,3000,3000,2000,70,62,4,Spring,No,No,No favorite,Water,Mathematics and statistics,8,8,5,In person,5,7,1,0,3,2,0,0,0,1,2,0,0,1,Some,Graduate degree,Freeze time,Rich,International aid
227,USA,NC,Male,Right-Handed,180,2,Bus,6,.503,32,600,400,500,800,91,88,3,Winter,No,No,Poultry,Water,Science,7,8,4,In person,110,210,2,2,4,4,3,3,1,3,14,0,0,4,Very little,Graduate degree,Invisibility,Happy,Education/Youth development
228,USA,NC,Male,Right-Handed,183,1,Car,10,.304,46,1000,765,706,380,97,105,4,Fall,No,No,No favorite,Water,Science,7,7,6,"Myspace, Facebook, other social networking sites, or blog",18,20,1,3,12,10,29,10,10,5,5,2,0,2,Very little,Undergraduate degree,Freeze time,Healthy,Environment
229,USA,NC,Female,Right-Handed,150,1,Walk,10,.746,44,900,950,800,950,47,49,7,Fall,Yes,No,Fruit,Powdered drink,Science,7,9,5,In person,100,100,30,1,15,10,10,0,8,8,20,8,10,5,A lot,Graduate degree,Fly,Happy,International aid
231,USA,NC,Female,Right-Handed,162,2,Bus,10,.592,58,1000,900,1000,500,55,55,8,Summer,No,No,Breads/Sandwiches,Water,Art,6,9,5,Text messaging,7,8,0,1,2,1,2,5,10,7,10,2,0,3,Very little,Undergraduate degree,Fly,Rich,International aid
233,USA,NC,Male,Right-Handed,188,1,Car,25,.491,43,902,497,524,909,76,76,12,Fall,Yes,No,Pizza/Pasta,Water,Computers and technology,7,9,4,Text messaging,5,7,2,0,3,1,3,1,3,1,2,1,0,1,Some,Graduate degree,Freeze time,Happy,Education/Youth development
235,USA,NC,Male,Right-Handed,172,2,Car,4,.829,47,0,0,0,0,12,55,11,Summer,No,No,Seafood,Juice,Music,8,8,4,Other,100,10000,24,24,1,24,1,24,24,24,24,24,24,1,A lot,High school,Invisibility,Happy,"Wildlife, animals"
236,USA,NC,Male,Right-Handed,191,2,Car,8,.302,61,400,400,300,1000,83,89,4,Summer,No,No,Meat,Water,Physical education,5,10,4,Text messaging,100,700,25,6,7,3,5,5,35,14,42,0,0,7,Some,Undergraduate degree,Invisibility,Rich,Health
237,USA,NC,Female,Right-Handed,155,3,Car,20,.373,41,20,20,20,20,80,80,4,Fall,Yes,No,Rice/Noodle dishes,Water,Mathematics and statistics,8,10,6,In person,0,0,5,1,2,6,2,0,1,1,1,2,1,1,Some,Some college,Super strength,Happy,Religious
238,USA,NC,Male,Right-Handed,170,1,Car,7,.432,38,100,100,500,900,75,85,7,Summer,No,No,Meat,Water,Physical education,6,9,5,Text messaging,10,25,6,0,5,4,8,4,4,2,12,5,3,2,Some,Graduate degree,Telepathy,Rich,Health
