ID,Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation,filter_$
204,USA,NC,2016,9,Male,14,Left-Handed,166,27,180,1,Car,30,.429,38,Martial Arts,604,396,198,508,107,481,27,Same length,80,80,Same length,7,Summer,Yes,No,Meat,Water,Physical education,8,5,2,Yes - broadband connection,E-mail,3,6,0,0,21,11,9,10,0,0,13,8,0,19,Some,Undergraduate degree,Rock and roll,Telepathy,Healthy,Musician or singer,Health,1
205,USA,NC,2015,12,Female,49,Right-Handed,150,12,70,1,Car,15,4.3,28,Walking/Hiking,1000,800,900,700,600,599,32,Same length,60,64,Ring finger,3,Summer,Yes,No,Pizza/Pasta,Juice,English,6,6,4,Yes - broadband connection,Cell phone,4,6,1,1,5,4,1,0,3,1,4,4,40,8,A lot,Other,Country,Freeze time,Healthy,Relative,Health,1
206,USA,NC,2020,12,Male,17,Left-Handed,168,26,168,1,Car,10,.324,40,Martial Arts,754,963,749,642,1000,1000,26,Same length,92,102,Ring finger,10,Summer,No,No,Rice/Noodle dishes,Water,Mathematics and statistics,8,6,4,Yes - broadband connection,Text messaging,51,46,8,0,7,8,7,0,2,4,20,10,20,3,A lot,Undergraduate degree,Rock and roll,Fly,Healthy,Religious figure,Religious,1
207,USA,NC,2021,11,Male,17,Right-Handed,181,26,185,2,Car,10,.235,34,Running/Jogging,650,500,400,600,900,1000,26.5,Left foot,35,37,Ring finger,4,Fall,Yes,No,Pizza/Pasta,Water,Science,8,10,4,Yes - broadband connection,Internet chat or instant messaging,1,4,6,0,7,1,6,14,0,4,24,6,6,4,Some,Undergraduate degree,Other,Freeze time,Happy,Other,Environment,1
208,USA,NC,2017,12,Male,17,Right-Handed,177,26,179,1,Walk,0,.365,43,Baseball/Softball,0,0,0,0,5,5,25,Right foot,77.5,80,Ring finger,8,Spring,No,No,Meat,Water,Computers and technology,6,11,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",100,145,112,1,20,5,18,20,40,100,100,10,0,5,A lot,High school,Rap/Hip hop,Telepathy,Rich,Other,International aid,0
209,USA,NC,2020,12,Male,16,Right-Handed,180,30,152,1,Bus,10,.37,70,Athletics,1000,1000,599,599,294,1000,30,Same length,64,51,Index finger,3,Spring,Yes,Yes,Pizza/Pasta,Water,History,8,6,4,Yes - broadband connection,Text messaging,25,31,0,2,2,3,1,0,1,2,0,4,8,1,Some,Undergraduate degree,Rhythm and blues (R&B),Telepathy,Famous,Relative,Education/Youth development,0
210,USA,NC,2022,12,Male,17,Right-Handed,182,30,176,2,Car,30,.288,51,Basketball,1000,1000,800,700,0,400,30,Same length,53,55,Ring finger,8,Spring,No,No,Poultry,Water,Art,9,8,4,Yes - broadband connection,Cell phone,2,6,1,0,1,2,2,2,1,1,1,0,7,2,Very little,High school,Rap/Hip hop,Freeze time,Healthy,Other,International aid,1
211,USA,NC,2013,11,Female,17,Right-Handed,161,23,160,1,Car,15,.274,37,Basketball,316,358,503,353,1000,1000,23,Same length,74,75,Ring finger,7,Summer,Yes,No,Pizza/Pasta,Sports drink,Physical education,7,5,4,Yes - broadband connection,Text messaging,223,220,26,1,2,27,18,0,9,35,9,9,0,2,Very little,Graduate degree,Rap/Hip hop,Invisibility,Happy,Sports person,Religious,1
212,USA,NC,2017,12,Male,17,Right-Handed,180,26,178,1,Car,15,.416,42,Dancing,900,950,850,850,300,600,27,Same length,90,80,Index finger,1,Winter,Yes,No,Rice/Noodle dishes,Water,Science,6,8,4,Yes - broadband connection,Internet chat or instant messaging,10,30,1,0,17,7,12,0,1,4,3,3,5,3,A lot,Undergraduate degree,Other,Telepathy,Happy,Relative,Environment,1
213,USA,NC,2019,11,Female,16,Left-Handed,67,10,67,1,Car,20,.38,39,Baseball/Softball,1000,500,1000,1000,500,1000,30,Same length,40,55,Index finger,5,Spring,Yes,No,Pizza/Pasta,Water,English,7,8,3,Yes - other,"Myspace, Facebook, other social networking sites, or blog",25,46,5,1,3,4,10,0,20,1,20,10,0,2,Some,Graduate degree,Pop,Telepathy,Happy,Relative,Health,1
214,USA,NC,2014,12,Male,17,Right-Handed,172,25,170,2,Car,20,.444,48,Other,750,250,100,750,1000,1000,23,Right foot,120,100,Index finger,10,Winter,Yes,No,Fruit,Water,Social studies,7,9,2,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",50,50,1,1,8,1,0,20,35,14,60,8,10,1,Some,Graduate degree,Classical,Telepathy,Happy,Musician or singer,"Arts, culture, sports",1
215,USA,NC,2014,10,Female,18,Right-Handed,171,24,168,1,Car,10,.482,39,Other,348,401,305,305,203,203,23,Right foot,90,90,Same length,3,Spring,No,No,Poultry,Water,Science,7,9,4,Yes - broadband connection,In person,30,40,7,1,5,25,2,0,2,10,5,4,0,3,Some,Undergraduate degree,Country,Telepathy,Happy,Doctor or nurse,Health,1
216,USA,NC,2020,12,Male,18,Right-Handed,182.8,9.5,34,1,Bus,30,.364,41,Other,400,500,500,500,1000,1000,28,Same length,76.2,66.04,Index finger,7,Spring,No,No,Meat,Water,Other,6,9,5,Yes - broadband connection,Text messaging,5,4,10,0,3,2,0,18,5,0,24,10,0,1,Some,High school,Other,Freeze time,Happy,Other,Other,1
217,USA,NC,2021,12,Female,17,Right-Handed,163,20,142,1,Car,15,.307,35,Gymnastics,1000,800,818,818,246,545,20,Same length,76,76,Ring finger,12,Fall,Yes,No,Pizza/Pasta,Water,English,6,8,3,Yes - broadband connection,Text messaging,15,35,4,1,28,15,6,0,30,4,55,4,0,4,A lot,Graduate degree,Pop,Telepathy,Happy,Actor,International aid,1
218,USA,NC,2022,12,Male,17,Left-Handed,170,26,176,2,Car,15,.306,67,Hockey (Ice),0,0,0,0,10000,10000,25,Right foot,40,55,Ring finger,7,Summer,Yes,No,Meat,Water,Music,7,15,5,Yes - broadband connection,Text messaging,10,12,7,1,5,0,8,1,20,4,24,1,0,10,Very little,High school,Heavy metal,Invisibility,Happy,Musician or singer,Religious,0
219,USA,NC,2021,12,Female,18,Right-Handed,149.7,38.1,50.8,2,Bus,15,.79,45,Tennis,1000,1000,1000,1000,0,1000,38.2,Same length,55,15.2,Same length,9,Fall,No,No,Breads/Sandwiches,Soft drink (caffeinated),History,7,9,8,Yes - other,Text messaging,20,40,7,6,5,168,4,3,168,54,168,24,40,2,A lot,Graduate degree,Other,Telepathy,Rich,Teacher,International aid,1
220,USA,NC,2016,11,Female,16,Right-Handed,162.4,23,61,4,Car,15,.443,36,Walking/Hiking,0,500,500,500,1000,1000,24,Right foot,92,92,Same length,5,Spring,No,Yes,Pizza/Pasta,Water,Mathematics and statistics,6,9,6,Yes - other,Text messaging,200,500,8,1,30,2,7,0,5,4,0,3,0,0,A lot,Graduate degree,Pop,Freeze time,Happy,Doctor or nurse,Health,1
222,USA,NC,2022,11,Male,18,Left-Handed,179,121,143,1,Car,25,1.201,53,Hockey (Ice),480,670,0,0,0,400,23,Same length,9,55,Index finger,7,Summer,Yes,No,Meat,Soft drink (caffeinated),History,9,9,6,Yes - broadband connection,Text messaging,20,20,0,1,2,2,1,6,3,1,7,2,0,1,Some,Other,Rap/Hip hop,Telepathy,Happy,Friend,Health,1
225,USA,NC,2021,11,Male,17,Right-Handed,188,27,200,2,Bus,15,.471,56,Tennis,600,500,600,800,300,600,29,Right foot,95,105,Ring finger,5,Summer,No,Yes,Pizza/Pasta,Water,Mathematics and statistics,7,7,4,Yes - broadband connection,Text messaging,120,1400,2,2,8,7,9,1,5,10,60,5,0,3,Some,Graduate degree,Rap/Hip hop,Freeze time,Healthy,Sports person,Education/Youth development,1
227,USA,NC,2020,11,Male,15,Right-Handed,180,29,173,2,Bus,6,.503,32,Basketball,600,400,700,500,800,900,29,Same length,91,88,Index finger,3,Winter,No,No,Poultry,Water,Science,7,8,4,Yes - broadband connection,In person,110,210,2,2,4,4,3,3,1,3,14,0,0,4,Very little,Graduate degree,Classical,Invisibility,Happy,Teacher,Education/Youth development,1
229,USA,NC,2017,12,Female,17,Right-Handed,150,13,148,1,Walk,10,.746,44,Other,900,950,700,800,950,950,14,Left foot,47,49,Ring finger,7,Fall,Yes,No,Fruit,Powdered drink,Science,7,9,5,Yes - broadband connection,In person,100,100,30,1,15,10,10,0,8,8,20,8,10,5,A lot,Graduate degree,Rock and roll,Fly,Happy,Doctor or nurse,International aid,1
230,USA,NC,2019,11,Female,17,Right-Handed,163,23.5,153.7,3,Bus,15,.404,45,None,680,690,780,600,750,830,22.4,Left foot,70,730,Ring finger,8,Fall,No,No,Rice/Noodle dishes,Tea,History,6,9,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",30,10,4,1,2,5,6,0,2,1,1,6,0,1,A lot,Graduate degree,Pop,Fly,Healthy,Business person,"Wildlife, animals",1
231,USA,NC,2022,12,Female,17,Right-Handed,162,20.23,162,2,Bus,10,.592,58,Tennis,1000,900,1000,1000,500,750,20.23,Same length,55,55,Same length,8,Summer,No,No,Breads/Sandwiches,Water,Art,6,9,5,Yes - broadband connection,Text messaging,7,8,0,1,2,1,2,5,10,7,10,2,0,3,Very little,Undergraduate degree,Pop,Fly,Rich,Relative,International aid,1
